is_anbieter_exprop,geo_lat,geo_lon
Deutsche Wohnen,52.5314,13.5389
Deutsche Wohnen,52.531,13.5448
Deutsche Wohnen,52.538,13.1872
Deutsche Wohnen,52.4545,13.3543
Deutsche Wohnen,52.433,13.2156
Deutsche Wohnen,52.5671,13.3136
Deutsche Wohnen,52.5169,13.4883
Deutsche Wohnen,52.4455,13.3482
Deutsche Wohnen,52.4123,13.3222
Deutsche Wohnen,52.4123,13.3222
Deutsche Wohnen,52.5156,13.4825
Deutsche Wohnen,52.5177,13.4823
Deutsche Wohnen,52.5598,13.5148
Deutsche Wohnen,52.5376,13.4873
Deutsche Wohnen,52.5891,13.4057
Deutsche Wohnen,52.5681,13.3427
Deutsche Wohnen,52.5694,13.3444
Deutsche Wohnen,52.4117,13.3234
Deutsche Wohnen,52.4305,13.3474
Deutsche Wohnen,52.5712,13.3173
Deutsche Wohnen,52.5457,13.5898
Deutsche Wohnen,52.5082,13.5007
Deutsche Wohnen,52.5376,13.4873
Deutsche Wohnen,52.5404,13.4943
Deutsche Wohnen,52.566,13.3283
Deutsche Wohnen,52.5691,13.3462
Deutsche Wohnen,52.575,13.3703
Deutsche Wohnen,52.5502,13.1975
Deutsche Wohnen,52.563,13.2023
Deutsche Wohnen,52.5814,13.3192
Deutsche Wohnen,52.5463,13.6013
Deutsche Wohnen,52.6085,13.3429
Deutsche Wohnen,52.4378,13.5723
Deutsche Wohnen,52.4083,13.3566
Deutsche Wohnen,52.5508,13.1864
Deutsche Wohnen,52.5474,13.179
Deutsche Wohnen,52.5547,13.1651
Deutsche Wohnen,52.4352,13.3381
Deutsche Wohnen,52.5403,13.6218
Deutsche Wohnen,52.5359,13.2818
Deutsche Wohnen,52.5379,13.2786
Deutsche Wohnen,52.5404,13.2782
Deutsche Wohnen,52.5381,13.2764
Deutsche Wohnen,52.4461,13.4455
Deutsche Wohnen,52.5176,13.4853
Deutsche Wohnen,52.5269,13.4211
Deutsche Wohnen,52.5494,13.5616
Deutsche Wohnen,52.4111,13.3161
Deutsche Wohnen,52.4113,13.3152
Deutsche Wohnen,52.5245,13.5717
Deutsche Wohnen,52.5255,13.5722
Deutsche Wohnen,52.6155,13.4932
Deutsche Wohnen,52.4546,13.4318
Deutsche Wohnen,52.4123,13.3222
Deutsche Wohnen,52.5538,13.4718
Deutsche Wohnen,52.5403,13.6218
Deutsche Wohnen,52.5917,13.3328
Deutsche Wohnen,52.54,13.2799
Deutsche Wohnen,52.4595,13.4389
Deutsche Wohnen,52.5508,13.451
Deutsche Wohnen,52.5532,13.4228
Deutsche Wohnen,52.5916,13.3315
Deutsche Wohnen,52.5916,13.3333
Deutsche Wohnen,52.5933,13.3316
Deutsche Wohnen,52.5256,13.5722
Deutsche Wohnen,52.5696,13.3507
Deutsche Wohnen,52.5163,13.49
Deutsche Wohnen,52.5935,13.3258
Deutsche Wohnen,52.5922,13.3322
Deutsche Wohnen,52.5924,13.3314
Deutsche Wohnen,52.5928,13.3294
