geo_lor_planungsraum_id,Planungsraum,Verdrängungsdruck,Prekarität,Miethöhe
09041402,Allende II,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09041501,Altstadt Kietz,mittel,hoch,unterdurchschnittlich
09041601,Müggelheim,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09051701,Hirschgarten,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09051702,Bölschestraße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09051801,Rahnsdorf/Hessenwinkel,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09051901,Dammvorstadt,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09052001,Köpenick Nord,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10010101,Marzahn West,mittel,hoch,unterdurchschnittlich
10010102,Havemannstraße,hoch,sehr hoch,unterdurchschnittlich
10010203,Gewerbegebiet Bitterfelder Straße,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
10010204,Wuhletalstraße,mittel,hoch,unterdurchschnittlich
10010205,Marzahn Ost,mittel,hoch,unterdurchschnittlich
10010206,Ringkolonnaden,mittel,hoch,unterdurchschnittlich
10010207,Marzahner Promenade,mittel,hoch,unterdurchschnittlich
10010308,Marzahner Chaussee,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
10010309,Springpfuhl,mittel,mittel,unterdurchschnittlich
10010310,Alt-Marzahn,mittel,mittel,unterdurchschnittlich
10010311,Landsberger Tor,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10020412,Alte Hellersdorfer Straße,sehr hoch,sehr hoch,unterdurchschnittlich
10020413,Gut Hellersdorf,mittel,hoch,unterdurchschnittlich
10020414,Helle Mitte,mittel,hoch,unterdurchschnittlich
10020415,Hellersdorfer Promenade,sehr hoch,sehr hoch,unterdurchschnittlich
10020416,Böhlener Straße,hoch,sehr hoch,unterdurchschnittlich
10020517,Adele-Sandrock-Straße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10020518,Schleipfuhl,mittel,hoch,unsichere Datenlage
10020519,Boulevard Kastanienallee,hoch,sehr hoch,unterdurchschnittlich
10020620,Kaulsdorf Nord II,unsichere Datenlage,hoch,unsichere Datenlage
10020621,Gelbes Viertel,mittel,hoch,unterdurchschnittlich
10020622,Kaulsdorf Nord I,unterdurchschnittlich,mittel,unterdurchschnittlich
10020623,Rotes Viertel,unsichere Datenlage,mittel,unsichere Datenlage
10030724,Oberfeldstraße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10030725,Buckower Ring,unterdurchschnittlich,mittel,unterdurchschnittlich
10030726,Alt-Biesdorf,unterdurchschnittlich,unterdurchschnittlich,mittel
10030727,Biesdorf Süd,unterdurchschnittlich,unterdurchschnittlich,hoch
10040828,Kaulsdorf Nord,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10040829,Alt-Kaulsdorf,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10040830,Kaulsdorf Süd,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10040931,Mahlsdorf Nord,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10040932,Alt-Mahlsdorf,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
10040933,Mahlsdorf Süd,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
11010101,Dorf Malchow,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
11010102,Dorf Wartenberg,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
11010103,Dorf Falkenberg,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
11010204,Falkenberg Ost,hoch,sehr hoch,unterdurchschnittlich
11010205,Falkenberg West,mittel,hoch,unterdurchschnittlich
11010206,Wartenberg Süd,mittel,hoch,unterdurchschnittlich
11010207,Wartenberg Nord,mittel,hoch,unterdurchschnittlich
11010308,Zingster Straße Ost,hoch,hoch,unterdurchschnittlich
11010309,Zingster Straße West,mittel,sehr hoch,unterdurchschnittlich
11010310,Mühlengrund,mittel,mittel,unterdurchschnittlich
11020411,Malchower Weg,unterdurchschnittlich,mittel,unterdurchschnittlich
11020412,Hauptstraße,mittel,mittel,unterdurchschnittlich
11020513,Orankesee,unterdurchschnittlich,unterdurchschnittlich,mittel
11020514,Große-Leege-Straße,unterdurchschnittlich,mittel,unterdurchschnittlich
11020515,Landsberger Allee,mittel,hoch,unterdurchschnittlich
11020516,Weiße Taube,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
11030617,Hohenschönhausener Straße,hoch,sehr hoch,unterdurchschnittlich
11030618,Fennpfuhl West,mittel,mittel,unterdurchschnittlich
11030619,Fennpfuhl Ost,mittel,hoch,unterdurchschnittlich
11030720,Herzbergstraße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
11030721,Rüdigerstraße,unterdurchschnittlich,mittel,mittel
11030824,Frankfurter Allee Süd,mittel,mittel,unterdurchschnittlich
11040925,Victoriastadt,unterdurchschnittlich,unterdurchschnittlich,hoch
11040926,Weitlingstraße,mittel,mittel,mittel
11041022,Rosenfelder Ring,hoch,hoch,unterdurchschnittlich
11041023,Gensinger Straße,hoch,hoch,unterdurchschnittlich
11041027,Tierpark,mittel,mittel,unterdurchschnittlich
11041128,Sewanstraße,mittel,mittel,unterdurchschnittlich
11051229,Rummelsburg,unterdurchschnittlich,unterdurchschnittlich,mittel
11051330,Karlshorst West,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
11051331,Karlshorst Nord,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
11051332,Karlshorst Süd,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
12103115,Breitkopfbecken,hoch,sehr hoch,unterdurchschnittlich
12103116,Hausotterplatz,hoch,sehr hoch,unterdurchschnittlich
12103117,Letteplatz,hoch,sehr hoch,unterdurchschnittlich
12103218,Teichstraße,hoch,hoch,unterdurchschnittlich
12103219,Schäfersee,sehr hoch,sehr hoch,mittel
12103220,Humboldtstraße,mittel,hoch,unterdurchschnittlich
12214125,Waldidyll/Flughafensee,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
12214126,Tegel Süd,hoch,sehr hoch,unterdurchschnittlich
12214421,Reinickes Hof,mittel,hoch,unterdurchschnittlich
